ID,Label
10001,0.3008202
10002,0.2151005
10003,0.3689852
10004,0.2431192
10005,0.41401434
10006,0.20120426
10007,0.29062477
10008,0.42709547
10009,0.57220614
10010,0.52791
10011,0.7421811
10012,0.7285407
10013,0.73676676
10014,0.2600904
10015,0.32892153
10016,0.68290275
10017,0.41524318
10018,0.70995224
10019,0.23997597
10020,0.41394994
10021,0.124937326
10022,0.56682163
10023,0.36987075
10024,0.2934165
10025,0.5322009
10026,0.50270844
10027,0.20763423
10028,0.5428132
10029,0.10564742
10030,0.80679077
10031,0.38154233
10032,0.7957451
10033,0.14624639
10034,0.4347787
10035,0.4720636
10036,0.7022181
10037,0.34410623
10038,0.26497406
10039,0.41698387
10040,0.20417294
10041,0.13127525
10042,0.25188705
10043,0.39453182
10044,0.4968947
10045,0.043291353
10046,0.32907277
10047,0.68247575
10048,0.66688013
10049,0.3883871
10050,0.68440706
10051,0.48509607
10052,0.24995585
10053,0.71803427
10054,0.3595585
10055,0.39696744
10056,0.2145282
10057,0.6803709
10058,0.5898816
10059,0.6262301
10060,0.43751934
10061,0.4671047
10062,0.79769176
10063,0.18825573
10064,0.17097837
10065,0.3456397
10066,0.48177308
10067,0.17429829
10068,0.22021632
10069,0.2351786
10070,0.3936365
10071,0.68412995
10072,0.6318157
10073,0.10769711
10074,0.7155767
10075,0.4778476
10076,0.24494177
10077,0.23374607
10078,0.6581806
10079,0.30916196
10080,0.14984898
10081,0.15687265
10082,0.8206696
10083,0.2236389
10084,0.19871217
10085,0.7824686
10086,0.6846161
10087,0.64494365
10088,0.521584
10089,0.64876354
10090,0.37894937
10091,0.15572311
10092,0.39441535
10093,0.71274114
10094,0.08032398
10095,0.12329672
10096,0.37974748
10097,0.4436633
10098,0.51707584
10099,0.1742278
10100,0.68145734
10101,0.62204504
10102,0.1419721
10103,0.65103894
10104,0.16295803
10105,0.34784818
10106,0.52227587
10107,0.39623153
10108,0.25362444
10109,0.45529938
10110,0.16850033
10111,0.2120967
10112,0.7958008
10113,0.24544014
10114,0.6548168
10115,0.57594305
10116,0.24899143
10117,0.65265137
10118,0.34703553
10119,0.3149568
10120,0.66874194
10121,0.7097564
10122,0.58577716
10123,0.41015628
10124,0.39071563
10125,0.18151489
10126,0.7207382
10127,0.63404816
10128,0.10855062
10129,0.46386373
10130,0.6707724
10131,0.6752463
10132,0.28486478
10133,0.76315945
10134,0.8584575
10135,0.7678868
10136,0.89944756
10137,0.8812924
10138,0.6720897
10139,0.8147395
10140,0.67313796
10141,0.610476
10142,0.6049381
10143,0.54674983
10144,0.67894197
10145,0.18391104
10146,0.6909246
10147,0.23433688
10148,0.51363534
10149,0.8286355
10150,0.5861881
10151,0.6997254
10152,0.22042416
10153,0.7110976
10154,0.6480346
10155,0.70598036
10156,0.2611027
10157,0.84287065
10158,0.45940557
10159,0.4073047
10160,0.7878181
10161,0.7415139
10162,0.24463642
10163,0.51662266
10164,0.7580927
10165,0.7184805
10166,0.31099805
10167,0.90104836
10168,0.82898045
10169,0.81534564
10170,0.8058484
10171,0.8058484
10172,0.64403814
10173,0.92080295
10174,0.62904036
10175,0.9255167
10176,0.88165754
10177,0.26323867
10178,0.1605197
10179,0.43281424
10180,0.646027
10181,0.8842097
10182,0.63157517
10183,0.29627743
10184,0.52633333
10185,0.77288276
10186,0.8621177
10187,0.23503812
10188,0.63349855
10189,0.6472846
10190,0.28927568
10191,0.5469686
10192,0.7454747
10193,0.097428866
10194,0.5605926
10195,0.70602936
10196,0.3294837
10197,0.27368987
10198,0.6469821
10199,0.68745136
10200,0.5811108
10201,0.60491437
10202,0.7430187
10203,0.38087332
10204,0.7882985
10205,0.3539381
10206,0.38732156
10207,0.103895895
10208,0.47065657
10209,0.76312786
10210,0.59120345
10211,0.46097514
10212,0.67761344
10213,0.17785628
10214,0.61814904
10215,0.5187611
10216,0.45257998
10217,0.39490452
10218,0.58702654
10219,0.3450221
10220,0.73160595
10221,0.7554719
10222,0.8269705
10223,0.8770188
10224,0.88082033
10225,0.68656534
10226,0.7246412
10227,0.55644435
10228,0.15962371
10229,0.64031345
10230,0.7565639
10231,0.74465096
10232,0.42720392
10233,0.4677788
10234,0.5082361
10235,0.23165649
10236,0.4817141
10237,0.28150132
10238,0.8734521
10239,0.15294811
10240,0.2773642
10241,0.6142504
10242,0.8007667
10243,0.72957766
10244,0.1756192
10245,0.3081533
10246,0.4639317
10247,0.6323037
10248,0.625469
10249,0.6436909
10250,0.65231615
10251,0.677019
10252,0.5589182
10253,0.46051568
10254,0.6192882
10255,0.27054307
10256,0.674059
10257,0.809435
10258,0.45492196
10259,0.3572192
10260,0.45617536
10261,0.60575783
10262,0.51195776
10263,0.6301598
10264,0.5512068
10265,0.52951413
10266,0.48222008
10267,0.37125626
10268,0.7008827
10269,0.57485956
10270,0.41081625
10271,0.277923
10272,0.8324937
10273,0.42187744
10274,0.86191857
10275,0.8937817
10276,0.91809857
10277,0.5862192
10278,0.6874636
10279,0.69315207
10280,0.91030794
10281,0.65379834
10282,0.69928247
10283,0.68792754
10284,0.78904575
10285,0.8873969
10286,0.870937
10287,0.8273184
10288,0.7445266
10289,0.6099037
10290,0.56842375
10291,0.63403386
10292,0.7588515
10293,0.7699491
10294,0.52609175
10295,0.6785789
10296,0.54257286
10297,0.37616873
10298,0.36421794
10299,0.50968117
10300,0.43149838
10301,0.81234014
10302,0.4304349
10303,0.8793729
10304,0.8746703
10305,0.26162437
10306,0.8475877
10307,0.3803456
10308,0.3803456
10309,0.6030028
10310,0.739205
10311,0.83983845
10312,0.83983845
10313,0.61390275
10314,0.42734796
10315,0.71336067
10316,0.6057582
10317,0.80189824
10318,0.43977195
10319,0.7516993
10320,0.23371823
10321,0.77139276
10322,0.46680972
10323,0.6918834
10324,0.78244466
10325,0.51180565
10326,0.6012863
10327,0.5149605
10328,0.29204658
10329,0.64672816
10330,0.6202331
10331,0.6202331
10332,0.6160149
10333,0.55037737
10334,0.46423945
10335,0.30569828
10336,0.3849819
10337,0.1134519
10338,0.4961819
10339,0.64742666
10340,0.8810753
10341,0.243118
10342,0.40341026
10343,0.55146444
10344,0.32515457
10345,0.5110612
10346,0.48365265
10347,0.5832304
10348,0.6390756
10349,0.15679681
10350,0.521937
10351,0.5914251
10352,0.49715397
10353,0.46199766
10354,0.48623568
10355,0.45538723
10356,0.73949474
10357,0.6182545
10358,0.6707074
10359,0.40679383
10360,0.46781656
10361,0.5289248
10362,0.37090516
10363,0.3937421
10364,0.68800384
10365,0.8082093
10366,0.7544212
10367,0.513438
10368,0.33228156
10369,0.4929357
10370,0.8121655
10371,0.41079572
10372,0.5907663
10373,0.69415903
10374,0.69231796
10375,0.36642778
10376,0.458781
10377,0.56979346
10378,0.41225567
10379,0.4611294
10380,0.54540443
10381,0.6761887
10382,0.6185042
10383,0.5077251
10384,0.14685181
10385,0.09051206
10386,0.48398465
10387,0.8010354
10388,0.5452991
10389,0.62998104
10390,0.4150435
10391,0.7420249
10392,0.18417245
10393,0.27553228
10394,0.19024974
10395,0.19198367
10396,0.7504243
10397,0.5520878
10398,0.54214424
10399,0.33626252
10400,0.4466423
10401,0.13193627
10402,0.53785324
10403,0.7124491
10404,0.6448351
10405,0.6324611
10406,0.4608313
10407,0.3210176
10408,0.61066365
10409,0.28592733
10410,0.58166933
10411,0.67393696
10412,0.59548587
10413,0.36085835
10414,0.31308275
10415,0.5354058
10416,0.668604
10417,0.56795
10418,0.12216908
10419,0.5118679
10420,0.5046559
10421,0.64166874
10422,0.6133071
10423,0.35868728
10424,0.19724959
10425,0.41556555
10426,0.5449994
10427,0.04467849
10428,0.2059589
10429,0.12961161
10430,0.6848612
10431,0.61932874
10432,0.408372
10433,0.59699166
10434,0.61943835
10435,0.5321179
10436,0.37575305
10437,0.72934335
10438,0.61423916
10439,0.449656
10440,0.16842517
10441,0.7860565
10442,0.5845323
10443,0.2067598
10444,0.5251737
10445,0.7794283
10446,0.625996
10447,0.32321116
10448,0.45737165
10449,0.46468705
10450,0.082831405
10451,0.3571662
10452,0.6468454
10453,0.5372101
10454,0.61806023
10455,0.7196975
10456,0.20408748
10457,0.16277015
10458,0.57796544
10459,0.40494072
10460,0.5728764
10461,0.53934145
10462,0.8936601
10463,0.64555943
10464,0.14536631
10465,0.24559404
10466,0.5098026
10467,0.10157195
10468,0.08516846
10469,0.4970816
10470,0.55774844
10471,0.42287248
10472,0.91796786
10473,0.6752268
10474,0.5035848
10475,0.060445003
10476,0.7314563
10477,0.6656235
10478,0.56117016
10479,0.2430149
10480,0.6317579
10481,0.15093404
10482,0.60110104
10483,0.68671954
10484,0.41917914
10485,0.09385675
10486,0.13279678
10487,0.53112173
10488,0.6633387
10489,0.4251934
10490,0.47394785
10491,0.6408358
10492,0.5612758
10493,0.15812866
10494,0.8153987
10495,0.15344134
10496,0.49009386
10497,0.49763137
10498,0.2007244
10499,0.50346565
10500,0.85843545
10501,0.49494448
10502,0.3574551
10503,0.18066378
10504,0.88520837
10505,0.6321075
10506,0.6675119
10507,0.44576836
10508,0.72629327
10509,0.6207086
10510,0.5362556
10511,0.42924136
10512,0.63269734
10513,0.78897136
10514,0.77509767
10515,0.77214867
10516,0.6380144
10517,0.6655508
10518,0.5598946
10519,0.77707684
10520,0.64846164
10521,0.34620082
10522,0.8284231
10523,0.72880787
10524,0.7824545
10525,0.13905297
10526,0.20842874
10527,0.3057459
10528,0.47292086
10529,0.47292086
10530,0.30455348
10531,0.13475877
10532,0.5344898
10533,0.21433271
10534,0.29335
10535,0.6950006
10536,0.47731045
10537,0.5773605
10538,0.5882616
10539,0.4360641
10540,0.54870296
10541,0.61084527
